artist,song,text,length,number_words,expl_bool,total_expl,grp_1,grp_2,tb_polarity,tb_subjectivity,vader_neg,vader_neu,vader_pos,compound
2pac,2ofamerikazmostwanted , up out of there aint nothin but a gangsta party eh light that up snoop why you actin like that ahh shit you done fucked up now  aint nothin but a gangsta party you done put two of americas most wanted in the same motherfuckin place at the same motherfuckin time  aint nothin but a gangsta party ha ha ha ha yall niggas about to feel this  aint nothin but a gangsta party  out the champagne glasses and the motherfuckin condoms have one on us aight  aint nothin but a gangsta party a toast to the gangsters ,507,97,1,5,1,1,0.016666666666666673,0.4916666666666667,0.106,0.623,0.272,0.9643
2pac,2ofamerikazmostwanted , picture perfect i paint a perfect picture bomb the hoochies with precision my intentions to get richer with the s n double o p dogg my fuckin homie yous a cold ass nigga on them hogs ,184,36,1,3,1,1,0.35,0.75,0.138,0.639,0.223,0.6249
2pac,2ofamerikazmostwanted , so now they got us laced two multi millionaire motherfuckers catchin cases bitches get ready for the throw down the shits about to go down me and snoop about to clown im losin my religion im vicious on these stool pigeons you might be deep in this game but you got the rules missin niggas be actin like they savage they out to get the cabbage ive got nothin but love for my niggas livin lavish ,395,76,1,5,0,2,-0.14444444444444443,0.49682539682539684,0.175,0.711,0.115,-0.5647
2pac,2ofamerikazmostwanted , ive got a pit named petey she nigerina ive got a house out in the hills right next to chino and i think ive got a black bimmer but my dream is to own a fly casino like bugsy siegel and do it all legal and get scooped up by the little homie in the regal it feels good to you baby bubba you see this is for the gs and the keys motherfucker ,339,74,1,2,0,0,0.27894345238095236,0.5211309523809524,0.074,0.795,0.131,0.4497
2pac,2ofamerikazmostwanted , now follow as we ride motherfuck the rest two of the best from the westside and i can make you famous niggas been dyin for years so how could they blame us i live in fear of a felony i never stop bailin these motherfuckin gs if you got it better flaunt it another warrant two of americas most wanted ,301,60,1,2,0,1,0.5272727272727272,0.5599999999999999,0.156,0.721,0.122,-0.3637
2pac,2ofamerikazmostwanted , aint nothin but a gangsta party aint nothin but a gangsta party  nothin but a gangsta party aint nothin but a gangsta party  nothin but a gangsta party it aint nothin but a motherfuckin gangsta party aint nothin but a gangsta party  nothin but a gangsta party it aint nothin but a motherfuckin gangsta party aint nothin but a gangsta party ,341,61,1,2,0,0,0.0,0.0,0.0,0.59,0.41,0.9887
2pac,2ofamerikazmostwanted , now give me fifty feet defeat is not my destiny release me to the streets and keep whatevers left of me jealousy is misery sufferin is greed better be prepared when you cowards fuck with me i bust and flee these niggas must be crazy what there aint no mercy motherfuckers who cant fade the thugs you thought it was but it wasnt now disappear bow down in the presence of a boss player ,385,74,1,3,1,1,-0.13111111111111112,0.45777777777777773,0.162,0.756,0.082,-0.6898
2pac,2ofamerikazmostwanted , its like cuzz blood gang bangin everybody in the party doin dope slangin you gotta have paper in this world you might get your first snatch before your eyes swirl you doin your job every day and then you work so hard til your hair turns gray let me tell you bout life and bout the way it is you see we live by the gun so we die by the guns kids ,346,73,0,0,0,0,0.031565656565656554,0.4583333333333333,0.103,0.833,0.064,-0.5014
2pac,2ofamerikazmostwanted , they tell me not to roll with my glock so now i got a throw away floatin in the black benz  bitch  tryin to do a show a day they wonder how i live with five shots niggas is hard to kill on my block schemes for currency and dough related affiliated with the hustlers so we made it no answers to questions im tryin to get up on it my nigga dogg wit me eternally the most wanted ,377,79,1,3,0,2,0.0356060606060606,0.475,0.192,0.808,0.0,-0.9468
2pac,2ofamerikazmostwanted , aint nothin but a gangsta party aint nothin but a gangsta party aint nothin but a gangsta party aint nothin but a gangsta party  nothin but a gangsta party it aint nothin but a motherfuckin gangsta party aint nothin but a gangsta party  nothin but a gangsta party it aint nothin but a motherfuckin gangsta party aint nothin but a gangsta party  nothin but a gangsta party it aint nothin but a motherfuckin gangsta party aint nothin but a gangsta party  nothin but a gangsta party it aint nothin but a motherfuckin gangsta party aint nothin but a gangsta party ,561,100,1,4,0,0,0.0,0.0,0.0,0.597,0.403,0.9955
2pac,2ofamerikazmostwanted , bitch where you at where you at aint nothin but a gangsta party yeah death row,79,16,1,1,0,0,0.0,0.0,0.297,0.46,0.243,-0.34
2pac,alleyezonme , big syke nook paint bogart big serge  yeah yall know how this shit go  you know all eyes on me motherfuckin og roll up in the club and shit is that right all eyes on me all eyes on me but you know what  ,204,44,1,3,0,0,-0.022857142857142864,0.4671428571428572,0.104,0.863,0.034,-0.5147
2pac,alleyezonme , i bet you got it twisted you dont know who to trust so many player hatin niggas tryna sound like us say they ready for the funk but i dont think they knowin straight to the depths of hell is where them cowards goin well are you still down nigga holla when you see me and let these devils be sorry for the day they finally freed me i got a caravan of niggas every time we ride hittin motherfuckers up when we pass by until i die live the life of a boss player cause even when im high fuck with me and get crossed later the futures in my eyes cause all i want is cash and thangs a five double  benz flauntin flashy rings uhh bitches pursue me like a dream been known to disappear before your eyes just like a dope fiend it seems my main thing was to be major paid the game sharper than a motherfuckin razor blade say money bring bitches bitches bring lies one niggas gettin jealous and motherfuckers die depend on me like the first and fifteenth they might hold me for a second but these punks wont get me we got four niggas in low riders and ski masks screamin  thug life every time they pass all eyes on me ,1108,220,1,12,1,5,-0.019001262626262626,0.45477777777777784,0.236,0.667,0.097,-0.9936
2pac,alleyezonme , live the life of a thug nigga until the day i die live the life of a boss player  all eyes on me cause even gettin high all eyes on me live the life of a thug nigga until the day i die live the life of a boss player cause even gettin high ,240,54,1,2,0,2,0.14424242424242426,0.5133333333333333,0.13,0.87,0.0,-0.8316
2pac,alleyezonme , so much trouble in the world nigga cant nobody feel your pain the worlds changin everyday times movin fast my girl said i need a raise how long will she last im caught between my woman and my pistol and my chips triple beam got some smokers on whistle as i dip im lost in the land with no plan livin life flawless crime boss contraband let me toss this mediocres got a lot of nerve let my bucket swerve im takin off from the curb the nervousness neglect make me pack a tec devoted to servin this mo t and pay checks like akai satellite nigga im forever ballin it aint right parasites triggers and fleas crawlin sucker duck and get busted no emotion my devotion is handlin my business nigga keep on coastin where you goin i been there came back as lonely homie steady flowin against the grain niggas still dont know me its about the money in this rap shit this crap shit it aint funny niggas dont even know how to act shit what can i do what can i say is there another way blunts and gin all day   parlay my little homie g cant you see im buster free niggas cant stand me all eyes on me ,1087,214,1,9,0,6,-0.007506613756613767,0.6056878306878306,0.195,0.74,0.066,-0.9836
