accuracy,artist,other_score,target_score
0.9104880021569156,A$AP Ant,0.9096598639455782,1.0
0.9117885082276773,A$AP Ant,0.9108505997818975,1.0
0.9089647515958923,A$AP Ant,0.908223407241089,0.975
0.8740623766285037,A$AP Ant,0.8728813559322034,0.9272727272727272
0.9107625743645213,A$AP Ant,0.9101092896174864,0.9736842105263158
0.861342694164107,A$AP Ant,0.8595227375056281,0.9310344827586207
0.9149102263856362,A$AP Ant,0.9140378548895899,1.0
0.9227357609710551,A$AP Ant,0.9224970553592462,0.9487179487179487
0.9066136815214306,A$AP Ant,0.906789413118527,0.8936170212765957
0.8765810655423534,A$AP Ant,0.8744639376218324,1.0
0.9134210526315789,A$AP Ant,0.9125697581716715,1.0
0.901323706377858,A$AP Ant,0.9001825928180158,1.0
0.9022054556006964,A$AP Ant,0.9013754755633596,1.0
0.8989838613269575,A$AP Ant,0.8981314044605184,1.0
0.8966489195114312,A$AP Ant,0.8954703832752613,1.0
0.9097744360902256,A$AP Ant,0.9092632719393283,0.96875
0.9131926121372032,A$AP Ant,0.9127767404641237,0.9512195121951219
0.8728370221327968,A$AP Ant,0.8720594304581097,0.9032258064516129
0.8945176960444136,A$AP Ant,0.8924769339957417,0.984375
0.9015527950310559,A$AP Ant,0.9002840012622279,0.9803921568627451
0.8713426853707414,A$AP Ant,0.8695829926410467,0.9591836734693877
0.9122662266226622,A$AP Ant,0.9115760111576011,0.9607843137254902
0.8959407216494846,A$AP Ant,0.8944789284547533,1.0
0.9038683602771362,A$AP Ant,0.9031787693205016,0.9714285714285714
0.9091900736296701,A$AP Ant,0.9088154269972452,0.9459459459459459
0.9119680851063829,A$AP Ant,0.9118042484538854,0.926829268292683
0.8956112852664577,A$AP Ant,0.894770206022187,0.9714285714285714
0.9142930459327688,A$AP Ant,0.9135834411384217,1.0
0.9154140127388535,A$AP Ant,0.9146748907735801,1.0
0.9213161659513591,A$AP Ant,0.9214457831325301,0.9090909090909091
0.9209894332372719,A$AP Ant,0.9206888188212466,0.9512195121951219
0.904093567251462,A$AP Ant,0.9030159668835009,1.0
0.9179460031762837,A$AP Ant,0.9169354838709678,0.9827586206896551
0.9187973484848485,A$AP Ant,0.919350990217132,0.8484848484848485
0.8996104285286185,A$AP Ant,0.8986690865093769,1.0
0.9092896174863389,A$AP Ant,0.9084390512961942,1.0
0.9169084674228436,A$AP Ant,0.9157754010695187,1.0
0.9053937121430632,A$AP Ant,0.9048175182481751,0.9523809523809523
0.9083969465648855,A$AP Ant,0.9075293444030919,0.9772727272727273
0.8578982154659617,A$AP Ant,0.8514328808446455,0.9037433155080213
0.9109257265877287,A$AP Ant,0.9107482993197279,0.926829268292683
0.8890915724188252,A$AP Ant,0.8871028037383177,0.9696969696969697
0.8822612085769981,A$AP Ant,0.8804653028479743,0.9444444444444444
0.9145794885315054,A$AP Ant,0.913843691651107,0.9772727272727273
0.9096435479414203,A$AP Ant,0.908659217877095,1.0
0.886223191566703,A$AP Ant,0.884272997032641,0.9818181818181818
0.9163701067615658,A$AP Ant,0.9155760841673082,1.0
0.8793745346239762,A$AP Ant,0.8786039453717754,0.92
0.8938640132669984,A$AP Ant,0.8930138373270334,0.9423076923076923
0.9152456095698651,A$AP Ant,0.9149537512846866,0.9459459459459459
0.8803290949887809,A$AP Ant,0.8788109756097561,0.96
0.9161404395049255,A$AP Ant,0.9156257965842467,0.9722222222222222
0.9225688909132316,A$AP Ant,0.9221076746849943,1.0
0.9099220220489379,A$AP Ant,0.9098316132536665,0.918918918918919
0.9145211122554068,A$AP Ant,0.9139812889812889,0.9722222222222222
0.919766081871345,A$AP Ant,0.9193320790216368,1.0
0.9096844396082698,A$AP Ant,0.9097413318657127,0.9047619047619048
0.8817040699885889,A$AP Ant,0.8803585346843336,0.9365079365079365
0.9170471841704718,A$AP Ant,0.9164316841835427,0.975609756097561
0.8778245882803524,A$AP Ant,0.8773510971786834,0.8983050847457628
0.9118763557483731,A$AP Ant,0.9108856594461201,1.0
0.8890429958391124,A$AP Ant,0.8888888888888888,0.896551724137931
0.8690671031096563,A$AP Ant,0.8687080536912751,0.8833333333333333
0.9227771010962241,A$AP Ant,0.9222606120434353,0.9622641509433962
0.9168844746471511,A$AP Ant,0.9169320594479831,0.9137931034482759
0.9206158287226365,A$AP Ant,0.9201262442340374,0.9736842105263158
0.9138896294321515,A$AP Ant,0.9133369330453563,0.9574468085106383
0.9086872051068554,A$AP Ant,0.9084269662921348,0.9302325581395349
0.9140295358649789,A$AP Ant,0.9133333333333333,0.9761904761904762
0.9289547113114403,A$AP Ant,0.9287878787878788,0.9487179487179487
0.9138166894664843,A$AP Ant,0.9125971143174251,1.0
0.9328712871287129,A$AP Ant,0.9325104519211627,1.0
0.9194437784703908,A$AP Ant,0.9190625755013289,0.96875
0.9224555735056543,A$AP Ant,0.9221111369448965,0.96875
