,artist,text
4507,Action Bronson,She grew a bush like a baby plant
4508,Action Bronson,Still I ate it just think of it as bucatin and razor clams
4509,Action Bronson,Smuggle cheeses in a baby bag
4510,Action Bronson,And then I serve at a private tasting
4511,Action Bronson,Just dick is placed in the slit no type of conversation
4512,Action Bronson,And prime rib from LaFrieda carved at the blablablabla
4513,Action Bronson,Fuck fucked my last word up cause I dont give a shit man
4514,Action Bronson,I meant to say prime rib carved at the fucking carving station but yo
4515,Action Bronson,Yo my mind is locked up my conscious rocked up
4516,Action Bronson,In an alley with a fiend getting his cock sucked
4517,Action Bronson,Plus she wearing a wedding dress a special day
4518,Action Bronson,She said she finally met a Fuck
4519,Action Bronson,Yo my mind is locked up my conscious rocked up
4520,Action Bronson,In an alley with a fiend getting his cock sucked
4521,Action Bronson,And she wearing a wedding dress a special day
4522,Action Bronson,She said she finally met a man to take her breath away
4523,Action Bronson,Well naturally Im jealous because Im lonely
4524,Action Bronson,At times my only friends in life are drugs and the cannoli
4525,Action Bronson,My dad was right I shoulda listened when he told me
4526,Action Bronson,A walking contradiction wounds inflicted on me solely
4527,Action Bronson,Pain within running deeper than the ocean floor
4528,Action Bronson,Ocean Bluh bluh bluh bluh bluh bluh yo
4529,Action Bronson,Pain within running deeper than the ocean floor
4530,Action Bronson,Ocean avenue the family straight from Kosovo
4531,Action Bronson,That was years ago mum look how your son has bloomed
4532,Action Bronson,I hum a tune and then Im hotter than the sun in June
4533,Action Bronson,And Im just living my life but feel Im drifting
4534,Action Bronson,Demons on the doorstep lungs that feel constricted
4535,Action Bronson,Or maybe I should see a shrink and get prescripted
4536,Action Bronson,Or take the hand of God but shit I think ill keep my distance
4537,Action Bronson,I think Im frightened and I didnt even know it
4538,Action Bronson,But yo that was a thought and Im subconsciously a poet
4539,Action Bronson,Its perfect timing and I hope that I dont blow it
4540,Action Bronson,I pop the bottle of the moet yo heres to me
4541,Action Bronson,Late nights Im trying to stay up out of the orange skips
4542,Action Bronson,Great white sharks the    with tarnished tip
4543,Action Bronson,  years I never met an honest bitch
4544,Action Bronson,Slice their faces like Kitana and shit
4545,Action Bronson,Through my nasal blow the smoke
4546,Action Bronson,Hookers on the half shell hundred dollar pants
